year,level,geoid,name,county,age,measure,estimate
2012,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-862
2012,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-165
2012,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,910
2013,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,11348
2013,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-2636
2013,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-1667
2013,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-2213
2013,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,1354
2013,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,4089
2013,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,3220
2013,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,3421
2013,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-9104
2013,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-6277
2013,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-4558
2013,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,2815
2013,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,7328
2013,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,5114
2013,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,6334
2013,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,4624
2013,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-677
2013,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-1615
2013,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,1796
2014,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,8492
2014,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-3057
2014,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-2648
2014,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-2076
2014,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,-317
2014,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,4774
2014,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,2461
2014,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,2426
2014,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-2791
2014,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-7825
2014,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-5605
2014,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,867
2014,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,7742
2014,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,3746
2014,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,8108
2014,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,3011
2014,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,471
2014,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-1760
2014,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,965
2015,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,1169
2015,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-2893
2015,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-2508
2015,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-3591
2015,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,-213
2015,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,3096
2015,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,729
2015,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,2804
2015,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-2553
2015,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-7737
2015,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-6608
2015,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,-710
2015,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,5613
2015,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,4541
2015,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,5799
2015,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,5615
2015,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,773
2015,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-1412
